galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
UGC01230_rotmod,57.43836094854613,21599159511.876312,13329197598.74699,8269961913.129324,0.0,0.0,0.6204395914954957
UGC02259_rotmod,44.7347676571964,3379698568.5148845,1251964780.6009717,2127733787.913913,0.0,0.0,1.6995156899641795
F571-8_rotmod,70.03325629796204,11568274772.490488,460017518.6435821,11108257253.846909,0.0,0.0,24.147465702177957
UGC05750_rotmod,44.051075373027835,11005042422.432638,7257313898.234341,3747728524.1983,0.0,0.0,0.5164071138097112
UGC04278_rotmod,48.335042283998504,4122540754.003925,2322341759.8595147,1800198994.1444087,0.0,0.0,0.7751654064272211
NGC4088_rotmod,182.2333695830634,128648861682.75436,12595443733.615084,116053417949.13931,0.0,0.0,9.213920557591203
UGC07559_rotmod,20.482625139796436,299951640.43115205,159176189.56057087,140775450.87058112,0.0,0.0,0.8844001810774107
NGC7331_rotmod,190.74945308797828,286000460411.1081,19426361414.235107,254948002159.90424,11626096836.96882,0.04065062280059627,13.123816484392455
UGC07603_rotmod,28.570133596915475,698042229.5139676,283027959.88853496,415014269.6254327,0.0,0.0,1.4663366467004815
DDO168_rotmod,28.378055993417775,752037327.7350788,495340587.7399184,256696739.9951603,0.0,0.0,0.5182227064541307
NGC4389_rotmod,137.96543100894888,24924164453.934998,597575504.5712222,24326588949.363777,0.0,0.0,40.708812130475145
UGC05414_rotmod,37.684316341820995,1646129004.613377,521897269.9278815,1124231734.6854966,0.0,0.0,2.1541245748245603
UGC06930_rotmod,71.4913046104023,16495083199.956884,6172782722.721069,10322300477.235815,0.0,0.0,1.672228060002988
UGC04305_rotmod,39.16052498696585,1878306603.356307,956511399.4352162,921795203.9210906,0.0,0.0,0.9637054032658428
UGC08699_rotmod,111.90757224799336,60440386956.03325,6927764790.429984,38788736127.8068,14723886037.796469,0.2436100557811983,5.5990261363072795
UGC08837_rotmod,31.701352100664735,1164833989.585077,514328332.2930598,650505657.2920173,0.0,0.0,1.2647673022246904
NGC5033_rotmod,120.61731032914038,133467887279.08562,19026643242.50462,89223316840.8625,25217927195.718468,0.18894378048396748,4.689388228058108
NGC4051_rotmod,177.93768968562705,85374841743.1386,4264509077.5883274,81110332665.55025,0.0,0.0,19.019852271347467
